time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-14 00:00:00+00:00,39,14,1,1
2026-06-15 00:00:00+00:00,21,6,1,1
2026-06-16 00:00:00+00:00,32,8,1,1
2026-06-17 00:00:00+00:00,23,9,0,0
2026-06-18 00:00:00+00:00,14,5,0,0
2026-06-19 00:00:00+00:00,48,9,0,0
2026-06-20 00:00:00+00:00,63,15,0,0
2026-06-21 00:00:00+00:00,34,11,0,0
2026-06-22 00:00:00+00:00,38,9,2,1
2026-06-23 00:00:00+00:00,32,8,0,0
2026-06-24 00:00:00+00:00,53,14,2,2
2026-06-25 00:00:00+00:00,33,9,1,1
2026-06-26 00:00:00+00:00,9,4,2,2
2026-06-27 00:00:00+00:00,12,6,0,0
