time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-26 00:00:00+00:00,14,5,0,0
2026-05-27 00:00:00+00:00,20,7,1,1
2026-05-28 00:00:00+00:00,5,5,3,1
2026-05-29 00:00:00+00:00,12,6,1,1
2026-05-30 00:00:00+00:00,22,7,1,1
2026-05-31 00:00:00+00:00,17,6,1,1
2026-06-01 00:00:00+00:00,22,11,2,2
2026-06-02 00:00:00+00:00,23,10,1,1
2026-06-03 00:00:00+00:00,36,12,0,0
2026-06-04 00:00:00+00:00,24,10,0,0
2026-06-05 00:00:00+00:00,11,5,0,0
2026-06-06 00:00:00+00:00,21,8,3,2
2026-06-07 00:00:00+00:00,20,10,0,0
2026-06-08 00:00:00+00:00,7,3,0,0
