time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-28 00:00:00+00:00,20,5,1,1
2026-04-29 00:00:00+00:00,58,13,0,0
2026-04-30 00:00:00+00:00,38,12,6,2
2026-05-01 00:00:00+00:00,48,11,0,0
2026-05-02 00:00:00+00:00,19,8,0,0
2026-05-03 00:00:00+00:00,31,12,0,0
2026-05-04 00:00:00+00:00,24,9,0,0
2026-05-05 00:00:00+00:00,36,11,0,0
2026-05-06 00:00:00+00:00,27,9,1,1
2026-05-07 00:00:00+00:00,63,8,8,2
2026-05-08 00:00:00+00:00,11,5,1,1
2026-05-09 00:00:00+00:00,31,10,7,4
2026-05-10 00:00:00+00:00,7,2,2,1
2026-05-11 00:00:00+00:00,7,7,5,1
