time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-19 00:00:00+00:00,21,10,0,0
2026-04-20 00:00:00+00:00,52,24,0,0
2026-04-21 00:00:00+00:00,42,20,7,5
2026-04-22 00:00:00+00:00,69,28,0,0
2026-04-23 00:00:00+00:00,118,32,1,1
2026-04-24 00:00:00+00:00,50,23,2,2
2026-04-25 00:00:00+00:00,66,28,2,1
2026-04-26 00:00:00+00:00,32,11,0,0
2026-04-27 00:00:00+00:00,21,7,1,1
2026-04-28 00:00:00+00:00,20,5,1,1
2026-04-29 00:00:00+00:00,58,13,0,0
2026-04-30 00:00:00+00:00,38,12,6,2
2026-05-01 00:00:00+00:00,48,11,0,0
2026-05-02 00:00:00+00:00,19,8,0,0
