time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-16 00:00:00+00:00,10,6,13,2
2026-01-17 00:00:00+00:00,8,4,3,2
2026-01-18 00:00:00+00:00,15,7,0,0
2026-01-19 00:00:00+00:00,4,3,1,1
2026-01-20 00:00:00+00:00,12,6,3,1
2026-01-21 00:00:00+00:00,17,6,3,1
2026-01-22 00:00:00+00:00,10,5,1,1
2026-01-23 00:00:00+00:00,12,4,6,3
2026-01-24 00:00:00+00:00,26,12,0,0
2026-01-25 00:00:00+00:00,15,6,1,1
2026-01-26 00:00:00+00:00,11,6,24,3
2026-01-27 00:00:00+00:00,14,9,1,1
2026-01-28 00:00:00+00:00,20,8,19,3
2026-01-29 00:00:00+00:00,6,4,3,1
