time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-05 00:00:00+00:00,3.0,1.0,3.0,1.0
2024-10-06 00:00:00+00:00,1.0,1.0,,
2024-10-07 00:00:00+00:00,3.0,3.0,1.0,1.0
2024-10-08 00:00:00+00:00,1.0,1.0,14.0,2.0
2024-10-09 00:00:00+00:00,2.0,1.0,15.0,1.0
2024-10-10 00:00:00+00:00,3.0,1.0,29.0,3.0
2024-10-11 00:00:00+00:00,1.0,1.0,28.0,3.0
2024-10-12 00:00:00+00:00,,,31.0,2.0
2024-10-13 00:00:00+00:00,,,30.0,2.0
2024-10-14 00:00:00+00:00,,,28.0,3.0
2024-10-16 00:00:00+00:00,1.0,1.0,,
2024-10-17 00:00:00+00:00,1.0,1.0,3.0,1.0
