time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-04 00:00:00+00:00,24,9,0,0
2026-05-05 00:00:00+00:00,36,11,0,0
2026-05-06 00:00:00+00:00,27,9,1,1
2026-05-07 00:00:00+00:00,63,8,8,2
2026-05-08 00:00:00+00:00,11,5,1,1
2026-05-09 00:00:00+00:00,31,10,7,4
2026-05-10 00:00:00+00:00,7,2,2,1
2026-05-11 00:00:00+00:00,7,7,5,1
2026-05-12 00:00:00+00:00,30,7,4,2
2026-05-13 00:00:00+00:00,41,10,2,2
2026-05-14 00:00:00+00:00,16,7,2,2
2026-05-15 00:00:00+00:00,29,8,0,0
2026-05-16 00:00:00+00:00,100,8,3,3
2026-05-17 00:00:00+00:00,15,6,0,0
