time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-23 00:00:00+00:00,118,32,1,1
2026-04-24 00:00:00+00:00,50,23,2,2
2026-04-25 00:00:00+00:00,66,28,2,1
2026-04-26 00:00:00+00:00,32,11,0,0
2026-04-27 00:00:00+00:00,21,7,1,1
2026-04-28 00:00:00+00:00,20,5,1,1
2026-04-29 00:00:00+00:00,58,13,0,0
2026-04-30 00:00:00+00:00,38,12,6,2
2026-05-01 00:00:00+00:00,48,11,0,0
2026-05-02 00:00:00+00:00,19,8,0,0
2026-05-03 00:00:00+00:00,31,12,0,0
2026-05-04 00:00:00+00:00,24,9,0,0
2026-05-05 00:00:00+00:00,36,11,0,0
2026-05-06 00:00:00+00:00,27,9,1,1
