,County & Zipcode,Block & Water,LKAF & PKAF,LKAS & PKAS,LKAU & PKAU,LKEU & PKEU,LKNA & PKNA,LKSA & PKSA
Grid,414,256,294,1176,212,2942,804,463
LBVH,1771,24545,27,1415,23,64827,25355,111
RasterJoin,43444,43298,5663,53381,2071,38518,0,5955
cuSpatial,787792,1795872,4610,87985,7502,0,2120524,16136
RayJoin,67,121,8,53,5,253,227,14
