,County & Zipcode,Block & Water,LKAF & PKAF,LKAS & PKAS,LKAU & PKAU,LKEU & PKEU,LKNA & PKNA,LKSA & PKSA
Grid,1397,337,136,981,71,767,2771,185
LBVH,121,203,14,70,11,280,409,23
PSSL,388,1577,223,407,122,3190,2397,184
GLIN,183741,3733485,2268,68659,12518,6992728,4336511,7733
RayJoin,62,138,7,42,5,161,208,11
